date,4. close,4. close,4. close
2015-09-02,43.36,112.34,644.91
2015-09-03,43.5,110.37,637.05
2015-09-04,42.61,109.27,628.96
2015-09-08,43.89,112.31,643.88
2015-09-09,43.07,110.15,643.41
2015-09-10,43.29,112.57,651.08
2015-09-11,43.48,114.21,655.3
2015-09-14,43.04,115.31,652.47
2015-09-15,43.98,116.28,665.07
2015-09-16,44.3,116.41,665.52
2015-09-17,44.25,113.92,671.67
2015-09-18,43.48,113.45,660.92
2015-09-21,44.11,115.21,666.98
2015-09-22,43.9,113.4,653.2
2015-09-23,43.87,114.32,653.29
2015-09-24,43.91,115.0,654.91
2015-09-25,43.94,114.71,640.15
2015-09-28,43.29,112.44,624.25
2015-09-29,43.44,109.06,622.61
2015-09-30,44.2,109.95,638.37
2015-10-01,44.61,109.58,642.0
2015-10-02,45.57,110.38,656.99
2015-10-05,46.63,110.78,671.68
2015-10-06,46.75,111.31,671.64
2015-10-07,46.8,110.78,670.0
2015-10-08,47.45,109.5,667.0
2015-10-09,47.11,112.12,671.24
2015-10-12,47.0,111.6,676.43
2015-10-13,46.89,111.79,683.17
2015-10-14,46.68,110.21,680.41
2015-10-15,47.01,111.86,693.02
2015-10-16,47.51,111.04,695.32
2015-10-19,47.62,111.73,699.95
2015-10-20,47.77,113.77,680.0
2015-10-21,47.2,113.76,671.8
2015-10-22,48.03,115.5,681.14
2015-10-23,52.87,119.08,719.33
2015-10-26,54.25,115.28,731.12
2015-10-27,53.69,114.55,732.82
2015-10-28,53.98,119.27,736.92
2015-10-29,53.36,120.53,744.85
2015-10-30,52.64,119.5,737.39
2015-11-02,53.24,121.18,747.74
2015-11-03,54.15,122.57,748.82
2015-11-04,54.4,122.0,755.31
2015-11-05,54.38,120.92,760.67
2015-11-06,54.92,121.06,761.6
2015-11-09,54.16,120.57,754.77
2015-11-10,53.51,116.77,758.26
2015-11-11,53.65,116.11,765.25
2015-11-12,53.32,115.72,756.53
2015-11-13,52.84,112.34,740.07
2015-11-16,53.765,114.175,750.42
